key,value
created_at,2026-05-01T18:32:22.498
result_count,1
successful_count,1
failed_count,0
config_count,1
default_epochs,1
default_n_samples,64
default_validation_fraction,0.15
default_test_fraction,0.15
default_sigma,5.0
default_demand_power,1.0
default_context_terms,3
default_mu,0.0
default_rho,0.0
default_tolerance_relative,0.1
default_tolerance_absolute_floor,1.0
default_solver,highs
default_loss,mse_scen
default_learning_rate,0.001
default_hidden_size,16
default_depth,1
default_batch_size,16
default_dropout,0.0
default_seed,1
default_run_id,smoke_0001_seed1
